,SPECIES,SITE,ID,SEX,TREAT,FWL,BUT_WT,REL_DATE,COND_0,RECAP_DATE,NRECAP,BEH,TIME,NOTEBOOK
399,Pontia_occidentalis,Corfu_WA,8,M,CTL,2.2,0.54,1993-07-05,1,187,1,FLIGHT,AM,Corfu.CutWings.1993_2
400,Pontia_occidentalis,Corfu_WA,8,M,CTL,2.2,0.54,1993-07-05,1,187,2,FLIGHT,MM,Corfu.CutWings.1993_2
401,Pontia_occidentalis,Corfu_WA,8,M,CTL,2.2,0.54,1993-07-05,1,187,3,FLIGHT,MM,Corfu.CutWings.1993_2
402,Pontia_occidentalis,Corfu_WA,8,M,CTL,2.2,0.54,1993-07-05,1,188,4,FLIGHT,MM,Corfu.CutWings.1993_2
403,Pontia_occidentalis,Corfu_WA,8,M,CTL,2.2,0.54,1993-07-05,1,188,5,FLIGHT,PM,Corfu.CutWings.1993_2
404,Pontia_occidentalis,Corfu_WA,9,M,CUT,2.1,0.64,1993-07-05,2,187,1,FLIGHT,PM,Corfu.CutWings.1993_2
405,Pontia_occidentalis,Corfu_WA,9,M,CUT,2.1,0.64,1993-07-05,2,188,2,FLIGHT,AM,Corfu.CutWings.1993_2
406,Pontia_occidentalis,Corfu_WA,9,M,CUT,2.1,0.64,1993-07-05,2,188,3,FLIGHT,MM,Corfu.CutWings.1993_2
407,Pontia_occidentalis,Corfu_WA,9,M,CUT,2.1,0.64,1993-07-05,2,189,4,NECTAR,MM,Corfu.CutWings.1993_2
408,Pontia_occidentalis,Corfu_WA,9,M,CUT,2.1,0.64,1993-07-05,2,189,5,FLIGHT,MM,Corfu.CutWings.1993_2
409,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.6,0.62,1993-07-05,2,187,1,SPOOK,AM,Corfu.CutWings.1993_2
410,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.6,0.62,1993-07-05,2,188,2,SPOOK,AM,Corfu.CutWings.1993_2
411,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.6,0.62,1993-07-05,2,188,3,NECTAR,MM,Corfu.CutWings.1993_2
412,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.6,0.62,1993-07-05,2,188,4,FLIGHT,MM,Corfu.CutWings.1993_2
413,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.6,0.62,1993-07-05,2,188,5,FLIGHT,MM,Corfu.CutWings.1993_2
414,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.6,0.62,1993-07-05,2,190,6,FLIGHT,AM,Corfu.CutWings.1993_2
415,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.6,0.62,1993-07-05,2,190,7,FLIGHT,PM,Corfu.CutWings.1993_2
416,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.6,0.62,1993-07-05,2,192,8,FLIGHT,AM,Corfu.CutWings.1993_2
417,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.6,0.62,1993-07-05,2,192,9,FLIGHT,MM,Corfu.CutWings.1993_2
418,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.6,0.62,1993-07-05,2,193,10,COURT,PM,Corfu.CutWings.1993_2
419,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.6,0.62,1993-07-05,2,193,11,FLIGHT,PM,Corfu.CutWings.1993_2
420,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.6,0.62,1993-07-05,2,194,12,FLIGHT,AM,Corfu.CutWings.1993_2
421,Pontia_occidentalis,Corfu_WA,11,M,CUT,2.1,0.72,1993-07-05,1,187,1,FLIGHT,PM,Corfu.CutWings.1993_2
422,Pontia_occidentalis,Corfu_WA,13,M,CUT,2.1,0.6,1993-07-05,1,187,1,SPOOK,AM,Corfu.CutWings.1993_2
423,Pontia_occidentalis,Corfu_WA,13,M,CUT,2.1,0.6,1993-07-05,1,187,2,REST,AM,Corfu.CutWings.1993_2
424,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,187,1,REST,AM,Corfu.CutWings.1993_2
425,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,187,2,FLIGHT,MM,Corfu.CutWings.1993_2
426,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,187,3,FLIGHT,PM,Corfu.CutWings.1993_2
427,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,187,4,FLIGHT,PM,Corfu.CutWings.1993_2
428,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,188,5,FLIGHT,AM,Corfu.CutWings.1993_2
429,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,189,6,FLIGHT,AM,Corfu.CutWings.1993_2
430,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,189,7,FLIGHT,MM,Corfu.CutWings.1993_2
431,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,189,8,FLIGHT,MM,Corfu.CutWings.1993_2
432,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,189,9,FLIGHT,MM,Corfu.CutWings.1993_2
433,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,189,10,FLIGHT,MM,Corfu.CutWings.1993_2
434,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,190,11,SPOOK,AM,Corfu.CutWings.1993_2
435,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,190,12,REST,MM,Corfu.CutWings.1993_2
436,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,190,13,FLIGHT,MM,Corfu.CutWings.1993_2
437,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,190,14,FLIGHT,PM,Corfu.CutWings.1993_2
438,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,190,15,FLIGHT,PM,Corfu.CutWings.1993_2
439,Pontia_occidentalis,Corfu_WA,15,F,CUT,2,0.65,1993-07-05,2,187,1,SPOOK,MM,Corfu.CutWings.1993_2
440,Pontia_occidentalis,Corfu_WA,18,M,CTL,2.4,0.62,1993-07-05,3,187,1,FLIGHT,PM,Corfu.CutWings.1993_2
441,Pontia_occidentalis,Corfu_WA,18,M,CTL,2.4,0.62,1993-07-05,3,190,2,FLIGHT,PM,Corfu.CutWings.1993_2
442,Pontia_occidentalis,Corfu_WA,18,M,CTL,2.4,0.62,1993-07-05,3,192,3,NECTAR,PM,Corfu.CutWings.1993_2
