"SPECIES","SITE","ID","SEX","TREAT","REL_DATE","COND_0","CAPTIME_0","BEH_0","FWL","MEL_GRP","FDS","FT","FT6","FM2","FM6","FB","DS","HB","PV","AV","DV","FV","NOTEBOOK","NRECAP","RECAP_DATE"
"Pontia_occidentalis","Corfu_WA",194,"M","NatVar","6/21/89",1,1346,"R",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,173
"Pontia_occidentalis","Corfu_WA",355,"M","NatVar","6/21/89",1,1544,"R",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,173
"Pontia_occidentalis","Corfu_WA",252,"F","NatVar","6/21/89",1,1435,"F",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,174
"Pontia_occidentalis","Corfu_WA",258,"F","NatVar","6/21/89",1,1517,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,174
"Pontia_occidentalis","Corfu_WA",258,"F","NatVar","6/21/89",1,1517,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,175
"Pontia_occidentalis","Corfu_WA",253,"F","NatVar","6/21/89",1,1437,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",250,"M","NatVar","6/21/89",3,1425,"R",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",359,"M","NatVar","6/21/89",2,1553,"R",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",359,"M","NatVar","6/21/89",2,1553,"R",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,173
"Pontia_occidentalis","Corfu_WA",256,"M","NatVar","6/21/89",1,1447,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,174
"Pontia_occidentalis","Corfu_WA",242,"M","NatVar","6/21/89",1,1350,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,173
"Pontia_occidentalis","Corfu_WA",242,"M","NatVar","6/21/89",1,1350,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,174
