RECNUM,SPECIES,SITE,ID,SEX,TREAT,FWL,BUT_WT,WTDBUT_WT,REL_DATE,COND_0,RECAP_DATE,NRECAP,BEH,TIME,WEAR,NOTEBOOK
136,Pontia_occidentalis,Corfu_WA,142,M,CTL,2.4,71,67,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
137,Pontia_occidentalis,Corfu_WA,143,F,WTD,2.4,106,120,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
138,Pontia_occidentalis,Corfu_WA,144,M,CTL,2.4,71,67,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
139,Pontia_occidentalis,Corfu_WA,145,M,WTD,2.4,77,89,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
140,Pontia_occidentalis,Corfu_WA,146,M,CTL,2.5,73,74,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
141,Pontia_occidentalis,Corfu_WA,147,M,WTD,2.5,66,69,1995-05-16,2,136,0,NA,NA,NA,Corfu.Weighted.1995
142,Pontia_occidentalis,Corfu_WA,148,M,CTL,2.4,82,79,1995-05-16,3,136,0,NA,NA,NA,Corfu.Weighted.1995
143,Pontia_occidentalis,Corfu_WA,149,M,WTD,2.5,80,96,1995-05-16,2,136,0,NA,NA,NA,Corfu.Weighted.1995
144,Pontia_occidentalis,Corfu_WA,150,M,CTL,2.5,79,74,1995-05-16,1,136,0,NA,NA,NA,Corfu.Weighted.1995
145,Pontia_occidentalis,Corfu_WA,151,M,WTD,2.4,102,107,1995-05-16,2,136,0,NA,NA,NA,Corfu.Weighted.1995
146,Pontia_occidentalis,Corfu_WA,152,M,CTL,2.4,63,59,1995-05-16,2,136,0,NA,NA,NA,Corfu.Weighted.1995
