"","SPECIES","SITE","ID","SEX","TREAT","FWL","REL_DATE","COND_0","RECAP_DATE","NRECAP","BEH","TIME","NOTEBOOK"
"118","Pontia_occidentalis","Corfu_WA",609,"F","B",2.5,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"119","Pontia_occidentalis","Corfu_WA",579,"F","B",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"120","Pontia_occidentalis","Corfu_WA",573,"F","B",2.6,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"121","Pontia_occidentalis","Corfu_WA",533,"M","B",2.6,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"122","Pontia_occidentalis","Corfu_WA",619,"F","B",2.4,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"123","Pontia_occidentalis","Corfu_WA",551,"F","B",2.1,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"124","Pontia_occidentalis","Corfu_WA",521,"F","B",2.7,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"125","Pontia_occidentalis","Corfu_WA",605,"M","B",2.5,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"126","Pontia_occidentalis","Corfu_WA",511,"F","B",2.6,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"127","Pontia_occidentalis","Corfu_WA",581,"F","B",2.5,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"128","Pontia_occidentalis","Corfu_WA",501,"M","B",2.5,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"129","Pontia_occidentalis","Corfu_WA",631,"M","B",2.5,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"130","Pontia_occidentalis","Corfu_WA",615,"F","B",2.7,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"131","Pontia_occidentalis","Corfu_WA",635,"M","B",2.5,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"132","Pontia_occidentalis","Corfu_WA",531,"F","B",2.2,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"133","Pontia_occidentalis","Corfu_WA",529,"F","B",2.4,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"134","Pontia_occidentalis","Corfu_WA",591,"F","B",2.6,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"135","Pontia_occidentalis","Corfu_WA",509,"","",NA,1993-07-08,"","189",0,NA,NA,"Corfu.BY.1993_2"
"136","Pontia_occidentalis","Corfu_WA",545,"M","B",2.3,1993-07-08,"2","189",0,NA,NA,"Corfu.BY.1993_2"
"137","Pontia_occidentalis","Corfu_WA",503,"F","B",2.5,1993-07-08,"3","189",0,NA,NA,"Corfu.BY.1993_2"
"138","Pontia_occidentalis","Corfu_WA",613,"M","B",2.5,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"139","Pontia_occidentalis","Corfu_WA",553,"M","B",2.5,1993-07-08,"1","189",0,NA,NA,"Corfu.BY.1993_2"
"140","Pontia_occidentalis","Corfu_WA",798,"M","Y",2.5,1993-07-09,"2","190",0,NA,NA,"Corfu.BY.1993_2"
"141","Pontia_occidentalis","Corfu_WA",724,"M","Y",2.6,1993-07-09,"2","190",0,NA,NA,"Corfu.BY.1993_2"
"142","Pontia_occidentalis","Corfu_WA",790,"F","Y",2.5,1993-07-09,"2","190",0,NA,NA,"Corfu.BY.1993_2"
"143","Pontia_occidentalis","Corfu_WA",746,"F","Y",2.6,1993-07-09,"2","190",0,NA,NA,"Corfu.BY.1993_2"
"144","Pontia_occidentalis","Corfu_WA",792,"M","Y",2.3,1993-07-09,"2","190",0,NA,NA,"Corfu.BY.1993_2"
"145","Pontia_occidentalis","Corfu_WA",720,"F","Y",2.6,1993-07-09,"2","190",0,NA,NA,"Corfu.BY.1993_2"
"146","Pontia_occidentalis","Corfu_WA",728,"F","Y",2.6,1993-07-09,"3","190",0,NA,NA,"Corfu.BY.1993_2"
"147","Pontia_occidentalis","Corfu_WA",738,"F","Y",2.8,1993-07-09,"3","190",0,NA,NA,"Corfu.BY.1993_2"
"148","Pontia_occidentalis","Corfu_WA",748,"F","Y",2.5,1993-07-09,"2","190",0,NA,NA,"Corfu.BY.1993_2"
"149","Pontia_occidentalis","Corfu_WA",736,"M","Y",2.4,1993-07-09,"1","190",0,NA,NA,"Corfu.BY.1993_2"
"150","Pontia_occidentalis","Corfu_WA",722,"M","Y",2.4,1993-07-09,"1","190",0,NA,NA,"Corfu.BY.1993_2"
"151","Pontia_occidentalis","Corfu_WA",698,"F","Y",2.6,1993-07-09,"2","190",0,NA,NA,"Corfu.BY.1993_2"
"152","Pontia_occidentalis","Corfu_WA",742,"M","Y",2.3,1993-07-09,"1","190",0,NA,NA,"Corfu.BY.1993_2"
"153","Pontia_occidentalis","Corfu_WA",750,"F","Y",2.3,1993-07-09,"2","190",0,NA,NA,"Corfu.BY.1993_2"
"154","Pontia_occidentalis","Corfu_WA",744,"M","Y",2.3,1993-07-09,"3","190",0,NA,NA,"Corfu.BY.1993_2"
"155","Pontia_occidentalis","Corfu_WA",734,"F","Y",2.2,1993-07-09,"3","190",0,NA,NA,"Corfu.BY.1993_2"
"156","Pontia_occidentalis","Corfu_WA",740,"M","Y",2.4,1993-07-09,"1","190",0,NA,NA,"Corfu.BY.1993_2"
