"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-17",,,
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-18",,,
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-19",,,
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-20","70","47",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-21","74","44",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-22","72","42",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-23","70","47",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-24","70","39",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-25","64","38",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-26","68","48",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-27","75","38",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-28","70","50",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-29","72","44",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-30","74","50",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-05-31","82","52",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-01","82","48",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-02","82","46",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-03","83","48",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-04","68","37",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-05","70","52",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-06","59","48",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-07","69","50",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-08","74","48",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-09","75","51",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-10","80","55",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-11","87","60",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-12","70","43",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-13","66","45",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-14","64","38",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-15","68","45",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-16","71","47",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-17","69","39",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-18","70","44",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-19","74","49",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-20","70","52",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-21","61","48",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-22","72","50",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-23","75","53",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-24","76","44",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-25","75","52",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-26","76","50",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-27","75","51",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-28","83","48",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-29","86","56",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-06-30","73","52",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-01","78","54",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-02","83","59",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-03","92","60",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-04","94","57",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-05","89","51",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-06","85","47",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-07","79","50",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-08","83","55",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-09","88","56",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-10","85","50",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-11","82","51",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-12","87","57",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-13","94","64",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-14","86","51",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-15","78","51",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-16","78","58",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-17","70","60",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-18","77","49",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-19","78","55",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-20","81","51",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-21","83","56",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-22","82","55",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-23","89","57",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-24","94","62",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-25","88","62",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-26","83","51",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-27","85","57",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-28","86","57",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-29","88","53",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-30","88","55",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-07-31","87","58",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-01","87","60",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-02","84","55",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-03","93","58",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-04","92","63",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-05","92","56",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-06","85","65",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-07","91","61",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-08","88","62",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-09","91","61",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-10","79","53",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-11","80","54",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-12","89","50",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-13","82","55",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-14","83","54",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-15","82","53",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-16","87","59",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-17","92","63",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-18","94","62",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-19","96","62",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-20","96","64",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-21","94","60",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-22","95","60",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-23","92","59",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-24","85","52",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-25","82","49",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-26","77","45",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-27","82","50",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-28","80","60",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-29","70","54",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-30","87","59",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-08-31","89","56",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-01","86","50",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-02","74","45",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-03","76","45",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-04","85","46",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-05","83","49",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-06","89","53",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-07","87","60",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-08","79","48",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-09","72","46",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-10","78","46",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-11","82","48",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-12","82","50",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-13","84","64",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-14","75","46",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-15","76","44",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-16","81","45",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-17","83","50",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-18","82","55",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-19","84","45",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-20","83","51",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-21","78","42",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-22","70","37",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-23","71","43",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-24","76","44",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-25","80","48",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-26","84","49",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-27","85","51",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-09-28","86","56",
